Trial,N,structure_instance_num,g,randomize_update_seq,b_distro,b_0_is_zero,normalize_bs,error_variance,normalize_yis,uninformed_rate
1,500,12,125.0,False,U-11,False,network,2,True,0
2,100,6,100,False,U-11,False,network,2,False,0.1
3,100,9,1,False,N01,False,network,2,False,0.1
4,500,3,5,False,U-11,False,network,2,True,0.1
5,500,8,125.0,True,N01,False,network,1,True,0.25
6,500,6,500,True,N01,False,agent,2,False,0.1
7,100,9,5,True,U-11,False,network,1,False,0.1
8,500,2,5,True,N01,False,agent,1,True,0
9,100,8,100,False,U-11,False,agent,2,True,0.1
10,500,2,500,False,U01,False,agent,1,False,0.25
11,100,13,5,False,U-11,False,network,1,False,0.1
12,100,3,1,False,U-11,False,network,1,True,0.25
13,500,13,125.0,True,U-11,False,agent,1,True,0.25
14,100,5,25.0,True,U01,False,network,1,False,0
15,500,9,1,True,U01,False,network,1,False,0.25
16,500,5,5,True,U-11,False,network,2,True,0.1
17,500,8,125.0,False,N01,True,agent,1,True,0.1
18,500,5,125.0,False,U-11,True,network,1,False,0.25
19,100,11,5,False,N01,True,network,2,False,0
20,100,4,5,False,U-11,True,network,2,True,0.1
21,500,8,125.0,True,N01,True,network,2,True,0.1
22,500,5,125.0,True,N01,True,network,2,False,0
23,500,11,5,True,U-11,True,network,1,False,0.1
24,100,6,5,True,U-11,True,network,1,True,0.1
25,500,8,125.0,False,U01,True,agent,2,True,0.1
26,500,4,500,False,U-11,True,agent,2,False,0.25
27,100,11,5,False,U-11,True,agent,2,False,0
28,100,2,5,False,U-11,True,agent,1,True,0.25
29,500,12,500,True,U01,True,network,2,True,0.25
30,100,4,25.0,True,U01,True,network,1,False,0
31,500,13,5,True,U-11,True,agent,2,False,0.1
32,100,7,5,True,U-11,True,agent,2,True,0.1
33,500,10,500,False,U-11,False,no,1,True,0.1
34,500,7,125.0,False,N01,False,agent,1,False,0.1
35,500,12,5,False,N01,False,no,1,False,0.1
36,100,4,5,False,N01,False,agent,2,True,0.1
37,500,9,125.0,True,N01,False,no,2,True,0.1
38,500,5,125.0,True,N01,False,no,1,False,0
39,500,8,5,True,N01,False,agent,1,False,0.1
40,500,5,5,True,N01,False,agent,1,True,0.1
41,100,11,100,False,U-11,False,no,1,True,0
42,100,3,100,False,U-11,False,agent,1,False,0.1
43,100,14,5,False,U-11,False,agent,2,False,0.1
44,100,3,5,False,U-11,False,agent,1,True,0.25
45,100,12,25.0,True,U01,False,no,1,True,0.25
46,100,4,100,True,U-11,False,no,2,False,0
47,100,9,1,True,U-11,False,agent,1,False,0.25
48,500,3,5,True,U-11,False,agent,1,True,0
49,100,11,25.0,False,N01,True,agent,1,True,0.1
50,100,2,100,False,N01,True,agent,2,False,0.1
51,100,9,5,False,N01,True,no,2,False,0
52,500,1,1,False,N01,True,agent,1,True,0.25
53,100,14,25.0,True,N01,True,no,1,True,0.25
54,100,4,25.0,True,U-11,True,no,1,False,0.1
55,500,11,1,True,N01,True,agent,2,False,0.25
56,500,7,5,True,U-11,True,no,2,True,0
57,500,11,125.0,False,U-11,True,agent,2,True,0
58,100,5,25.0,False,U-11,True,no,2,False,0.25
59,500,11,5,False,U01,True,agent,2,False,0
60,100,4,5,False,U01,True,agent,2,True,0.25
61,100,13,100,True,U-11,True,agent,1,True,0.1
62,100,3,100,True,U01,True,no,2,False,0.1
63,100,14,1,True,U01,True,no,1,False,0.1
64,100,1,1,True,U01,True,agent,2,True,0
65,100,9,25.0,False,U-11,False,network,0.5,True,0
66,500,2,125.0,False,N01,False,network,0.5,False,0.25
67,100,10,5,False,N01,False,network,0.5,False,0
68,500,4,1,False,U-11,False,network,0.5,True,0.25
69,100,12,25.0,True,U-11,False,agent,0.5,True,0.25
70,100,2,25.0,True,U-11,False,network,1,False,0.1
71,100,11,5,True,N01,False,agent,0.5,False,0.25
72,100,3,1,True,N01,False,agent,1,True,0.1
73,100,14,25.0,False,U01,False,network,1,True,0
74,100,3,25.0,False,U01,False,agent,1,False,0.1
75,500,8,1,False,U01,False,agent,0.5,False,0.1
76,500,6,1,False,U01,False,agent,0.5,True,0.25
77,500,12,125.0,True,U-11,False,agent,1,True,0.1
78,100,6,100,True,U01,False,agent,0.5,False,0.1
79,100,8,1,True,U-11,False,agent,0.5,False,0.25
80,500,2,5,True,U01,False,network,0.5,True,0
