Trial,N,structure_instance_num,structure,num_X_vars,g,g_level,randomize_update_seq,b_distro,b_0_is_zero,normalize_bs,error_variance,normalize_yis,uninformed_rate,g_rate,MA_R2_Adj__t_100,MA-p_value__t_100,Outliers_Dropped__t_100,Max_Y__100,Max_Corr_Y__100,Classification__t_100,MA_R2_Adj__t_250,MA-p_value__t_250,Outliers_Dropped__t_250,Max_Y__250,Max_Corr_Y__250,Classification__t_250,MA_R2_Adj__t_500,MA-p_value__t_500,Outliers_Dropped__t_500,Max_Y__500,Max_Corr_Y__500,Classification__t_500
1,500,12,Random k-out (k=3) #b,3,125,N/4,False,U-11,False,network,2.0,True,0.0,0.25,0.476317,1.0,2.0,105.116,0.5361020000000001,Not Linear,0.43223100000000003,1.0,4.0,91.9901,0.542913,Not Linear,0.42107100000000003,1.0,2.0,84.431,0.47191700000000003,Not Linear
2,100,6,Erdos-Renyi Random #2b,41,100,N,False,U-11,False,network,2.0,False,0.1,1.0,0.506792,1.0,13.0,46.1068,0.500733,Linear,0.480645,1.0,14.0,61.7315,0.5382359999999999,Not Linear,0.461405,1.0,13.0,53.8943,0.518143,Not Linear
3,100,9,Scale-Free #2a,3,1,1,False,N01,False,network,2.0,False,0.1,0.01,-0.0155043,0.0,8.0,46.1537,0.0565621,Not Linear,0.0112788,0.0,9.0,55.3777,0.0832831,Not Linear,0.00200074,0.0,8.0,59.5844,0.12474600000000001,Not Linear
4,500,3,Erdos-Renyi Random #1a,38,5,5,False,U-11,False,network,2.0,True,0.1,0.01,0.561925,1.0,2.0,105.727,0.534741,Linear,0.6089600000000001,1.0,3.0,91.0021,0.520243,Linear,0.608259,1.0,2.0,81.8642,0.42092399999999996,Linear
5,500,8,Scale-Free #1b,24,125,N/4,True,N01,False,network,1.0,True,0.25,0.25,0.0379514,0.0,1.0,54.7051,0.163496,Not Linear,0.051662599999999996,0.0,0.0,55.8217,0.230262,Not Linear,0.093157,1.0,1.0,44.934,0.306996,Not Linear
6,500,6,Erdos-Renyi Random #2b,99,500,N,True,N01,False,agent,2.0,False,0.1,1.0,,0.0,,,,Invalid,,0.0,,,,Invalid,,0.0,,,,Invalid
7,100,9,Scale-Free #2a,3,5,5,True,U-11,False,network,1.0,False,0.1,0.05,0.016225,0.0,4.0,26.2039,0.193154,Not Linear,0.0834804,1.0,2.0,26.0308,0.290865,Not Linear,0.0242215,0.0,2.0,29.8861,0.19651,Not Linear
8,500,2,Directed Random Tree (Reversed),1,5,5,True,N01,False,agent,1.0,True,0.0,0.01,0.0548064,1.0,14.0,2228.81,0.336389,Not Linear,0.101284,1.0,14.0,2159.64,0.18332400000000001,Not Linear,0.0329685,1.0,18.0,1874.64,0.0475279,Not Linear
9,100,8,Scale-Free #1b,6,100,N,False,U-11,False,agent,2.0,True,0.1,1.0,0.12434500000000001,1.0,25.0,1042.88,0.2383,Not Linear,0.11889100000000001,1.0,24.0,853.4989999999999,0.355714,Not Linear,0.126968,1.0,23.0,1235.77,0.26263600000000004,Not Linear
10,500,2,Directed Random Tree (Reversed),1,500,N,False,U01,False,agent,1.0,False,0.25,1.0,0.6436310000000001,1.0,3.0,584.293,0.760937,Linear,0.650226,1.0,2.0,590.254,0.764622,Linear,0.631104,1.0,0.0,586.674,0.808446,Linear
11,100,13,Random k-out (k=10) #a,10,5,5,False,U-11,False,network,1.0,False,0.1,0.05,0.23062800000000003,1.0,7.0,22.9386,0.315206,Not Linear,0.29588200000000003,1.0,5.0,26.590999999999998,0.400888,Not Linear,0.24998299999999998,1.0,6.0,24.0721,0.43306300000000003,Not Linear
12,100,3,Erdos-Renyi Random #1a,15,1,1,False,U-11,False,network,1.0,True,0.25,0.01,0.0418045,0.0,3.0,24.1819,0.24909099999999998,Not Linear,0.026439099999999997,0.0,1.0,26.4646,0.15221400000000002,Not Linear,-0.00108795,0.0,3.0,28.2162,0.0807331,Not Linear
13,500,13,Random k-out (k=10) #a,10,125,N/4,True,U-11,False,agent,1.0,True,0.25,0.25,0.379961,1.0,27.0,296127.0,0.4062,Not Linear,0.407615,1.0,30.0,184511.0,0.390888,Not Linear,0.392899,1.0,32.0,113330.0,0.44901,Not Linear
14,100,5,Erdos-Renyi Random #2a,49,25,N/4,True,U01,False,network,1.0,False,0.0,0.25,0.326126,1.0,2.0,23.1774,0.406488,Not Linear,0.373073,1.0,1.0,27.2482,0.477691,Not Linear,0.320143,1.0,2.0,22.9773,0.447467,Not Linear
15,500,9,Scale-Free #2a,5,1,1,True,U01,False,network,1.0,False,0.25,0.002,0.0165613,0.0,0.0,55.5377,0.0822329,Not Linear,0.00914105,0.0,2.0,48.1995,0.14257999999999998,Not Linear,-0.00805426,0.0,0.0,44.7842,0.16831600000000002,Not Linear
16,500,5,Erdos-Renyi Random #2a,95,5,5,True,U-11,False,network,2.0,True,0.1,0.01,,0.0,1.0,107.81200000000001,0.509308,Invalid,,0.0,2.0,127.059,0.509919,Invalid,0.651035,0.0,1.0,84.17,0.42383699999999996,Not Linear
17,500,8,Scale-Free #1b,24,125,N/4,False,N01,True,agent,1.0,True,0.1,0.25,0.600047,1.0,14.0,526.602,0.811182,Linear,0.44390799999999997,1.0,11.0,550.58,0.716938,Not Linear,0.5719609999999999,1.0,18.0,469.64,0.701908,Linear
18,500,5,Erdos-Renyi Random #2a,95,125,N/4,False,U-11,True,network,1.0,False,0.25,0.25,,0.0,6.0,53.4757,0.48953900000000006,Invalid,,0.0,6.0,62.2008,0.395575,Invalid,,0.0,6.0,40.1333,0.40031,Invalid
19,100,11,Random k-out (k=3) #a,3,5,5,False,N01,True,network,2.0,False,0.0,0.05,0.14243599999999998,1.0,7.0,49.4609,0.444733,Not Linear,0.203057,1.0,7.0,56.2014,0.32431,Not Linear,0.234364,1.0,7.0,56.1332,0.395997,Not Linear
20,100,4,Erdos-Renyi Random #1b,18,5,5,False,U-11,True,network,2.0,True,0.1,0.05,0.516889,1.0,5.0,49.4054,0.5060399999999999,Linear,0.434266,1.0,3.0,53.9595,0.378764,Not Linear,0.499831,1.0,2.0,55.7495,0.481127,Not Linear
21,500,8,Scale-Free #1b,24,125,N/4,True,N01,True,network,2.0,True,0.1,0.25,0.0395636,0.0,1.0,100.90799999999999,0.30095500000000003,Not Linear,0.110917,0.0,3.0,109.48100000000001,0.27666599999999997,Not Linear,0.0634069,0.0,3.0,102.072,0.23283800000000002,Not Linear
22,500,5,Erdos-Renyi Random #2a,95,125,N/4,True,N01,True,network,2.0,False,0.0,0.25,,0.0,4.0,103.887,0.376205,Invalid,,0.0,6.0,95.5295,0.401325,Invalid,,0.0,4.0,82.2141,0.420455,Invalid
