,N,Instance,Family,Avg. Out-Degree,Assortativity,Reciprocity,Efficiency
0,100,1,directed_random_tree,1.34,-0.25126900335563773,0.014925373134328358,0.12539835293786672
1,100,2,directed_random_tree,1.0,,0.0,0.028655484845145872
2,100,3,erdos_renyi_random,8.29,-0.032990235176115046,0.06755126658624849,0.46155723905724866
3,100,4,erdos_renyi_random,8.5,0.01557207969695094,0.12705882352941175,0.4680976430976483
4,100,5,erdos_renyi_random,30.15,-0.021291902894181876,0.3097844112769486,0.6522727272727272
5,100,6,erdos_renyi_random,29.73,0.007824250845593116,0.29330642448705013,0.6501346801346801
6,100,7,scale_free,1.5,-0.10319103228770428,0.02666666666666667,0.024676767676767714
7,100,8,scale_free,1.4,-0.24918926612600031,0.07142857142857142,0.0649736652236654
8,100,9,scale_free,1.15,-0.2524650737720865,0.017391304347826087,0.041543410293410105
9,100,10,scale_free,1.23,-0.24973345988388024,0.016260162601626018,0.023903318903318947
10,100,11,random_k_out,3.0,,0.02,0.2906200096200062
11,100,12,random_k_out,3.0,,0.04666666666666667,0.2660863395863381
12,100,13,random_k_out,10.0,,0.13,0.49787037037037085
13,100,14,random_k_out,10.0,,0.07,0.5003114478114464
14,500,1,directed_random_tree,1.364,-0.2624377840878965,0.005865102639296188,0.061486500338433746
15,500,2,directed_random_tree,1.0,,0.0,0.006953477507981724
16,500,3,erdos_renyi_random,24.928,-0.007905885845379603,0.05102695763799743,0.47931863727408397
17,500,4,erdos_renyi_random,24.648,-0.01996581793897273,0.05111976630963973,0.4775110220436287
18,500,5,erdos_renyi_random,150.366,-0.0012059040486503473,0.30288762087173965,0.6506673346693387
19,500,6,erdos_renyi_random,149.498,-0.005125093398626368,0.30012441638015225,0.6497975951903807
20,500,7,scale_free,1.656,-0.20610281570308447,0.026570048309178744,0.028395736472386995
21,500,8,scale_free,1.616,-0.24826142841343343,0.007425742574257425,0.03211233871894647
22,500,9,scale_free,1.222,-0.11868797324622048,0.0,0.01642570382178267
23,500,10,scale_free,1.2,-0.16233056287489744,0.0033333333333333335,0.005034602538410158
24,500,11,random_k_out,3.0,,0.014666666666666666,0.18902438050678447
25,500,12,random_k_out,3.0,,0.0026666666666666666,0.1938204812218804
26,500,13,random_k_out,10.0,,0.014,0.36590494321932127
27,500,14,random_k_out,10.0,,0.0272,0.36578229792874406
28,1000,1,directed_random_tree,1.362,-0.3090270607666481,0.0,0.055995335120986874
29,1000,2,directed_random_tree,1.0,,0.0,0.003911852422407628
30,1000,3,erdos_renyi_random,49.806,-0.0031865853956014505,0.04935148375697707,0.5116946946941127
31,1000,4,erdos_renyi_random,49.62,-0.0006797896142766474,0.05014107214832729,0.5112439105766443
32,1000,5,erdos_renyi_random,300.244,-0.0021266120394782847,0.30132825302087635,0.6502722722722722
33,1000,6,erdos_renyi_random,299.481,-0.0030738134668411464,0.29880359688928515,0.6498903903903903
34,1000,7,scale_free,1.665,-0.23558860415657587,0.00960960960960961,0.026651322823553408
35,1000,8,scale_free,1.714,-0.24676230536720037,0.004667444574095682,0.02161762850929986
36,1000,9,scale_free,1.174,-0.19063577844197802,0.0017035775127768314,0.0038027615638726356
37,1000,10,scale_free,1.202,-0.1337621279345637,0.0,0.004025098575098575
38,1000,11,random_k_out,3.0,,0.0006666666666666666,0.16739480985359714
39,1000,12,random_k_out,3.0,,0.006666666666666667,0.16866087071966754
40,1000,13,random_k_out,10.0,,0.0136,0.3269240740736932
41,1000,14,random_k_out,10.0,,0.0074,0.3270535702365128
