Factor,Level,Not Linear,Linear,Invalid,Row Totals
N,500,0.421875,0.2890625,0.2890625,128.0
N,100,0.5079365079365079,0.4126984126984127,0.07936507936507936,63.0
N,1000,0.515625,0.1875,0.296875,64.0
structure,Random k-out (k=3) #b,0.7368421052631579,0.15789473684210525,0.10526315789473684,19.0
structure,Erdos-Renyi Random #2b,0.05,0.2,0.75,20.0
structure,Scale-Free #2a,0.65,0.3,0.05,20.0
structure,Erdos-Renyi Random #1a,0.42105263157894735,0.2631578947368421,0.3157894736842105,19.0
structure,Scale-Free #1b,0.45,0.35,0.2,20.0
structure,Directed Random Tree (Reversed),0.65,0.35,0.0,20.0
structure,Random k-out (k=10) #a,0.55,0.2,0.25,20.0
structure,Erdos-Renyi Random #2a,0.15,0.05,0.8,20.0
structure,Random k-out (k=3) #a,0.5789473684210527,0.42105263157894735,0.0,19.0
structure,Erdos-Renyi Random #1b,0.2631578947368421,0.5263157894736842,0.21052631578947367,19.0
structure,Scale-Free #1a,0.3684210526315789,0.3684210526315789,0.2631578947368421,19.0
structure,Scale-Free #2b,0.65,0.35,0.0,20.0
structure,Random k-out (k=10) #b,0.3,0.4,0.3,10.0
structure,Directed Random Tree,0.8,0.2,0.0,10.0
num_X_vars,3,0.6511627906976745,0.3023255813953488,0.046511627906976744,43.0
num_X_vars,41,0.2,0.8,0.0,5.0
num_X_vars,38,0.375,0.375,0.25,8.0
num_X_vars,24,0.2727272727272727,0.45454545454545453,0.2727272727272727,11.0
num_X_vars,99,0.0,0.0,1.0,10.0
num_X_vars,1,0.65,0.35,0.0,20.0
num_X_vars,6,0.6,0.4,0.0,5.0
num_X_vars,10,0.4666666666666667,0.26666666666666666,0.26666666666666666,30.0
num_X_vars,15,0.5714285714285714,0.14285714285714285,0.2857142857142857,7.0
num_X_vars,49,0.5,0.0,0.5,2.0
num_X_vars,5,0.7407407407407407,0.2222222222222222,0.037037037037037035,27.0
num_X_vars,95,0.125,0.0625,0.8125,16.0
num_X_vars,18,0.3333333333333333,0.6666666666666666,0.0,6.0
num_X_vars,44,0.2857142857142857,0.42857142857142855,0.2857142857142857,7.0
num_X_vars,4,0.5,0.5,0.0,4.0
num_X_vars,7,0.6111111111111112,0.3888888888888889,0.0,18.0
num_X_vars,12,0.4,0.3,0.3,10.0
num_X_vars,98,0.0,0.0,1.0,5.0
num_X_vars,28,0.2,0.4,0.4,5.0
num_X_vars,80,0.16666666666666666,0.5,0.3333333333333333,6.0
num_X_vars,26,0.75,0.0,0.25,4.0
num_X_vars,71,0.25,0.25,0.5,4.0
num_X_vars,100,0.0,0.0,1.0,2.0
g_level,N/4,0.4235294117647059,0.29411764705882354,0.2823529411764706,85.0
g_level,N,0.4186046511627907,0.32558139534883723,0.2558139534883721,43.0
g_level,1,0.6511627906976745,0.18604651162790697,0.16279069767441862,43.0
g_level,5,0.44047619047619047,0.3333333333333333,0.2261904761904762,84.0
g_rate,0.25,0.4235294117647059,0.29411764705882354,0.2823529411764706,85.0
g_rate,1,0.4186046511627907,0.32558139534883723,0.2558139534883721,43.0
g_rate,0.01,0.4339622641509434,0.32075471698113206,0.24528301886792453,53.0
g_rate,0.05,0.45454545454545453,0.45454545454545453,0.09090909090909091,22.0
g_rate,0.002,0.5238095238095238,0.19047619047619047,0.2857142857142857,21.0
g_rate,0.001,0.9166666666666666,0.0,0.08333333333333333,12.0
g_rate,0.005,0.5263157894736842,0.2631578947368421,0.21052631578947367,19.0
randomize_update_seq,False,0.4765625,0.2890625,0.234375,128.0
randomize_update_seq,True,0.4566929133858268,0.2992125984251969,0.2440944881889764,127.0
b_distro,U-11,0.5396825396825397,0.16666666666666666,0.29365079365079366,126.0
b_distro,N01,0.5076923076923077,0.24615384615384617,0.24615384615384617,65.0
b_distro,U01,0.28125,0.59375,0.125,64.0
b_0_is_zero,False,0.484375,0.28125,0.234375,128.0
b_0_is_zero,True,0.44881889763779526,0.30708661417322836,0.2440944881889764,127.0
normalize_bs,network,0.7230769230769231,0.12307692307692308,0.15384615384615385,65.0
normalize_bs,agent,0.31746031746031744,0.40476190476190477,0.2777777777777778,126.0
normalize_bs,no,0.5,0.25,0.25,64.0
error_variance,2.0,0.35384615384615387,0.3384615384615385,0.3076923076923077,65.0
error_variance,1,0.5079365079365079,0.2698412698412698,0.2222222222222222,126.0
error_variance,0.5,0.5,0.296875,0.203125,64.0
normalize_yis,True,0.6299212598425197,0.23622047244094488,0.13385826771653545,127.0
normalize_yis,False,0.3046875,0.3515625,0.34375,128.0
uninformed_rate,0.0,0.5555555555555556,0.2698412698412698,0.1746031746031746,63.0
uninformed_rate,0.1,0.4609375,0.2890625,0.25,128.0
uninformed_rate,0.25,0.390625,0.328125,0.28125,64.0
